Date,AA,AAPL,AXP,BA,CAT,CSCO,DD,DIS,EK,FDX,GE,GT,HPQ,IBM,IP,JNJ,JPM,KO,MCD,MMM,MO,MRK,MSFT,PG,T,UTX,WMT
Dec-2008,0.047,-0.079,-0.204,0.001,0.090,-0.015,0.010,0.023,-0.131,-0.090,-0.039,-0.072,0.031,0.031,-0.052,0.021,-0.004,-0.034,0.059,-0.140,-0.044,0.154,-0.039,-0.039,-0.002,0.104,0.007
Jan-2009,-0.309,0.056,-0.090,-0.008,-0.302,-0.082,-0.092,-0.089,-0.312,-0.206,-0.251,0.034,-0.042,0.089,-0.227,-0.036,-0.181,-0.056,-0.067,-0.065,0.098,-0.061,-0.120,-0.112,-0.123,-0.105,-0.159
Feb-2009,-0.183,-0.009,-0.279,-0.249,-0.202,-0.027,-0.169,-0.189,-0.296,-0.152,-0.278,-0.280,-0.165,0.010,-0.355,-0.126,-0.104,-0.044,-0.091,-0.146,-0.067,-0.152,-0.050,-0.116,-0.034,-0.142,0.045
Mar-2009,0.179,0.177,0.130,0.132,0.136,0.151,0.191,0.083,0.191,0.033,0.188,0.410,0.108,0.053,0.238,0.052,0.163,0.087,0.044,0.094,0.058,0.124,0.138,-0.022,0.060,0.053,0.064
Apr-2009,0.236,0.197,0.876,0.126,0.289,0.152,0.249,0.206,-0.197,0.258,0.252,0.756,0.122,0.065,0.798,-0.005,0.244,-0.020,-0.023,0.158,0.020,-0.093,0.103,0.059,0.033,0.136,-0.033
May-2009,0.019,0.079,-0.015,0.131,-0.004,-0.042,0.035,0.106,-0.144,-0.009,0.065,0.042,-0.045,0.035,0.137,0.063,0.118,0.142,0.107,0.000,0.046,0.138,0.037,0.051,-0.033,0.085,-0.008
Jun-2009,0.120,0.049,-0.058,-0.052,-0.068,0.008,-0.100,-0.037,0.134,0.005,-0.123,-0.017,0.128,-0.018,0.053,0.030,-0.076,-0.015,-0.017,0.053,-0.022,0.028,0.138,-0.016,0.002,-0.012,-0.026
Jul-2009,0.139,0.147,0.219,0.009,0.350,0.180,0.208,0.077,0.003,0.220,0.143,0.512,0.120,0.129,0.243,0.072,0.135,0.039,-0.042,0.173,0.069,0.073,-0.011,0.095,0.074,0.048,0.030
Aug-2009,0.027,0.029,0.194,0.169,0.028,-0.019,0.045,0.037,0.791,0.013,0.037,-0.031,0.037,0.006,0.222,0.001,0.125,-0.022,0.030,0.030,0.043,0.081,0.054,-0.025,-0.007,0.097,0.025
Sep-2009,0.089,0.102,0.008,0.090,0.133,0.090,0.007,0.055,-0.102,0.096,0.188,0.033,0.053,0.013,-0.032,0.007,0.008,0.110,0.015,0.024,-0.008,-0.013,0.043,0.070,0.037,0.027,-0.035
Oct-2009,-0.054,0.017,0.027,-0.117,0.080,-0.031,-0.010,-0.003,-0.215,-0.034,-0.132,-0.244,0.005,0.008,0.004,-0.030,-0.046,-0.007,0.027,-0.003,0.017,-0.022,0.078,0.009,-0.035,0.009,0.012
Nov-2009,0.011,0.061,0.201,0.106,0.060,0.026,0.100,0.104,0.080,0.162,0.124,0.064,0.034,0.052,0.142,0.073,0.017,0.081,0.088,0.059,0.038,0.171,0.065,0.075,0.049,0.100,0.098
Dec-2009,0.288,0.054,-0.031,0.033,-0.024,0.023,-0.026,0.079,0.042,-0.011,-0.050,0.028,0.052,0.036,0.053,0.025,-0.019,-0.004,-0.013,0.068,0.062,0.019,0.036,-0.028,0.041,0.032,-0.015
Jan-2010,-0.211,-0.089,-0.067,0.120,-0.077,-0.061,-0.031,-0.084,0.434,-0.061,0.063,-0.054,-0.086,-0.065,-0.145,-0.024,-0.065,-0.048,0.000,-0.026,0.012,0.045,-0.075,0.022,-0.082,-0.028,0.000
Feb-2010,0.047,0.065,0.014,0.049,0.092,0.083,0.047,0.057,-0.018,0.082,0.005,-0.026,0.079,0.044,0.012,0.010,0.078,-0.028,0.031,0.002,0.013,-0.034,0.022,0.028,-0.022,0.024,0.012
Mar-2010,0.071,0.148,0.085,0.150,0.102,0.070,0.104,0.117,-0.025,0.103,0.133,-0.027,0.048,0.009,0.062,0.035,0.066,0.052,0.045,0.043,0.038,0.023,0.022,0.000,0.042,0.072,0.034
Apr-2010,-0.057,0.111,0.118,-0.002,0.090,0.035,0.070,0.055,0.059,-0.036,0.036,0.062,-0.022,0.006,0.087,-0.014,-0.047,-0.028,0.058,0.061,0.033,-0.062,0.043,-0.010,0.025,0.018,-0.035
May-2010,-0.131,-0.016,-0.135,-0.109,-0.108,-0.140,-0.082,-0.093,-0.080,-0.072,-0.133,-0.114,-0.115,-0.024,-0.127,-0.085,-0.070,-0.038,-0.045,-0.100,-0.043,-0.039,-0.151,-0.017,-0.068,-0.096,-0.052
