Maturity,Coupon,Bid,Asked,Chg,Asked Yield
12/31/2018,1.25,100.1484,100.1641,0.0234,1.162
12/31/2018,1.375,100.3359,100.3516,-0.0234,1.187
12/31/2018,1.5,100.6016,100.6172,0.0156,1.17
1/15/2019,1.125,99.875,99.8906,-0.0078,1.182
1/31/2019,1.125,99.8594,99.875,0.0156,1.189
1/31/2019,1.25,100.0469,100.0625,-0.0391,1.218
1/31/2019,1.5,100.6016,100.6172,0.0156,1.184
2/15/2019,0.75,99.0547,99.0703,-0.0078,1.216
2/15/2019,2.75,102.9922,103.0078,-0.0469,1.241
2/15/2019,8.875,115.4844,115.5,-0.0938,1.111
2/28/2019,1.375,100.2422,100.2578,-0.0469,1.248
2/28/2019,1.5,100.5156,100.5313,-0.0313,1.238
3/15/2019,1,99.4609,99.4766,-0.0156,1.253
3/31/2019,1.5,100.4609,100.4766,-0.0391,1.274
3/31/2019,1.625,100.7578,100.7734,-0.0234,1.258
4/15/2019,0.875,99.0781,99.0938,-0.0391,1.297
4/30/2019,1.25,99.8516,99.8672,-0.0547,1.31
4/30/2019,1.625,100.6875,100.7031,-0.0391,1.304
5/15/2019,0.875,99.0078,99.0234,-0.0313,1.313
5/15/2019,3.125,104.0156,104.0313,-0.0469,1.317
5/31/2019,1.125,99.5469,99.5625,-0.0156,1.318
5/31/2019,1.5,100.4063,100.4219,-0.0156,1.314
6/15/2019,0.875,98.9063,98.9219,-0.0469,1.343
6/30/2019,1,99.1641,99.1797,-0.0469,1.349
6/30/2019,1.625,100.6094,100.625,-0.0547,1.359
7/15/2019,0.75,98.5313,98.5469,-0.0313,1.358
7/31/2019,0.875,98.7891,98.8047,-0.0313,1.366
7/31/2019,1.625,100.5859,100.6016,-0.0469,1.378
8/15/2019,0.75,98.4453,98.4609,-0.0156,1.372
8/15/2019,3.625,105.5391,105.5547,-0.0859,1.379
8/15/2019,8.125,116.6875,116.7031,-0.0859,1.371
8/31/2019,1,99.0078,99.0234,-0.0547,1.389
8/31/2019,1.625,100.5703,100.5859,-0.0469,1.391
9/15/2019,0.875,98.6406,98.6563,-0.0313,1.403
9/30/2019,1,98.9297,98.9453,-0.0313,1.407
9/30/2019,1.75,100.8516,100.8672,-0.0391,1.415
10/15/2019,1,98.8906,98.9063,-0.0234,1.416
10/31/2019,1.25,99.5469,99.5625,-0.0391,1.414
10/31/2019,1.5,100.1641,100.1797,-0.0469,1.432
11/15/2019,1,98.8047,98.8203,-0.0391,1.436
11/15/2019,3.375,105.2891,105.3047,-0.0625,1.415
11/30/2019,1,98.7813,98.7969,-0.0469,1.438
11/30/2019,1.5,100.1172,100.1328,-0.0469,1.451
12/15/2019,1.375,99.7656,99.7813,-0.0469,1.453
12/31/2019,1.125,99.0156,99.0313,-0.0469,1.468
