PERMNO,date,TICKER,PRC,SHROUT
13407,20131129,FB,47.01000,1874048
13407,20131231,FB,54.64900,1874048
13598,20130131,KRFT,46.22000,592764
13598,20130228,KRFT,48.48000,593373
13598,20130328,KRFT,51.53000,594687
13598,20130430,KRFT,51.49000,594471
13598,20130531,KRFT,55.13000,594471
13598,20130628,KRFT,55.87000,595911
13598,20130731,KRFT,56.58000,595562
13598,20130830,KRFT,51.77000,595562
13598,20130930,KRFT,52.48000,596239
13598,20131031,KRFT,54.37500,595872
13598,20131129,KRFT,53.12000,595872
13598,20131231,KRFT,53.91000,595872
13757,20130131,LMCA,111.51000,111248
13757,20130228,LMCA,108.00000,110745
13757,20130328,LMCA,111.63000,110615
13757,20130430,LMCA,114.88000,110617
13757,20130531,LMCA,124.86000,110617
13757,20130628,LMCA,126.76000,110630
13757,20130731,LMCA,143.73000,110639
13757,20130830,LMCA,136.48000,110639
13757,20130930,LMCA,147.14999,110630
13757,20131031,LMCA,152.91000,104365
13757,20131129,LMCA,153.46001,104365
13757,20131231,LMCA,146.29201,104365
14008,20130131,AMGN,85.46000,756300
14008,20130228,AMGN,91.55000,748430
14008,20130328,AMGN,102.51000,749600
14008,20130430,AMGN,104.21000,749977
14008,20130531,AMGN,100.53000,749977
14008,20130628,AMGN,98.66000,752900
14008,20130731,AMGN,108.29000,753356
14008,20130830,AMGN,108.94000,753356
14008,20130930,AMGN,111.92500,754100
14008,20131031,AMGN,116.14000,754126
14008,20131129,AMGN,114.08000,754126
14008,20131231,AMGN,114.08000,754126
14593,20130131,AAPL,455.48999,939058
14593,20130228,AAPL,441.39999,939058
14593,20130328,AAPL,442.66000,940094
14593,20130430,AAPL,442.78000,938649
14593,20130531,AAPL,449.73499,938649
14593,20130628,AAPL,396.53000,908442
14593,20130731,AAPL,452.53000,908497
14593,20130830,AAPL,487.21600,908497
14593,20130930,AAPL,476.75000,899213
14593,20131031,AAPL,522.70203,899738
14593,20131129,AAPL,556.07001,899738
14593,20131231,AAPL,561.02002,899738
14702,20130131,AMAT,12.91000,1200044
14702,20130228,AMAT,13.70500,1200044
14702,20130328,AMAT,13.48000,1200044
